"DataType","1","2","3","4","5","6","7","8","9","10","11","12","13"
"Leaf Number","6","4","5","3","1","2","13","7","8","11","12","10","9"
"Change in Leaf Number","10","5","12","2","3","7","11","4","9","1","8","6",NA
"Shoot Length","6","5","10","9","7","12","8","13","11","1","4","3","2"
"Change in Shoot Length","4","5","11","9","8","3","2","12","7","1","6","10",NA
"ETR - Indiv.","4","5","10","13","12","7","1","8","9","2","6","11","3"
"ETR - Ave.","4","5","10","13","12","7","1","8","6","9","2","11","3"
"PhiPS2 - Indiv.","3","5","13","9","10","4","12","8","1","7","6","11","2"
"PhiPS2 - Ave.","3","5","13","9","10","12","4","8","6","7","1","11","2"
"VPDLeaf - Indiv.","7","11","2","8","12","1","13","6","4","3","10","5","9"
"VPDLeaf - Ave.","7","11","1","2","8","12","13","6","4","3","5","10","9"
"gsw - Indiv.","10","4","9","3","12","5","11","1","2","13","7","8","6"
"gsw - Ave.","10","4","9","11","12","3","5","1","2","13","7","6","8"
